"INTL BUS PARCELS ZONE SORT PRIORITY ","INTL BUS PARCELS ZONE SORT PRIORITY "
"INTL BUS PARCELS ZONE SORT ECONOMY","INTL BUS PARCELS ZONE SORT ECONOMY"
"INTL BUS MAIL LRG LTR ZONE SORT PRI","INTL BUS MAIL LRG LTR ZONE SORT PRI"
"INTL BUS MAIL LRG LTR ZONE SORT ECONOMY","INTL BUS MAIL LRG LTR ZONE SORT ECONOMY"
"INTL BUS MAIL LRG LTR ZONE SRT PRI MCH","INTL BUS MAIL LRG LTR ZONE SRT PRI MCH"
"INTL BUS MAIL L LTR ZONE SRT ECONOMY MCH ","INTL BUS MAIL L LTR ZONE SRT ECONOMY MCH "
"INTL BUS PARCELS PRINT DIRECT PRIORITY","INTL BUS PARCELS PRINT DIRECT PRIORITY"
"INTL BUS PARCELS PRINT DIRECT STANDARD","INTL BUS PARCELS PRINT DIRECT STANDARD"
"INTL BUS PARCELS PRINT DIRECT ECONOMY","INTL BUS PARCELS PRINT DIRECT ECONOMY"
"INTL BUS PARCELS SIGNED EXTRA COMP CTRY","INTL BUS PARCELS SIGNED EXTRA COMP CTRY"
"INTL BUS PARCELS TRACKED","INTL BUS PARCELS TRACKED"
"INTL BUS PARCELS TRACKED EXTRA COMP","INTL BUS PARCELS TRACKED EXTRA COMP"
"INTL BUS PARCELS SIGNED","INTL BUS PARCELS SIGNED"
"INTL BUS PARCELS SIGNED EXTRA COMP","INTL BUS PARCELS SIGNED EXTRA COMP"
"INTL BUS PARCELS TRACKED COUNTRY PRICED","INTL BUS PARCELS TRACKED COUNTRY PRICED"
"INTL BUS PARCELS TRACKED EXTRA COMP CTRY","INTL BUS PARCELS TRACKED EXTRA COMP CTRY"
"INTL BUS PARCELS SIGNED COUNTRY PRICED","INTL BUS PARCELS SIGNED COUNTRY PRICED"
"INTL BUS PARCELS TRACKED & SIGNED","INTL BUS PARCELS TRACKED & SIGNED"
"INTL BUS PARCELS TRACKED SIGNED XTR COMP","INTL BUS PARCELS TRACKED SIGNED XTR COMP"
"INTL BUS MAIL TRACKED & SIGNED","INTL BUS MAIL TRACKED & SIGNED"
"INTL BUS MAIL TRACKED & SIGNED XTR COMP","INTL BUS MAIL TRACKED & SIGNED XTR COMP"
